ima_id	cube_start	vX0	vY0	vZ0	vo	vp	vk
K00341DC	 1410,3100 	 -3,824091778 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00342DC	 1414,3180 	 -3,992015968 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00343DC	 1418,5090 	 -3,817704605 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00344DC	 1422,5100 	 -3,999000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00345DC	 1426,7110 	 -4,046655558 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00346DC	 1430,7100 	 -4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00347DC	 1434,9100 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00348DC	 1438,9090 	 -4,001000250 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00349DC	 1443,1310 	 -3,789673141 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00350DC	 1447,3090 	 -4,068932504 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00351DC	 1451,3090 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00352DC	 1455,5090 	 -3,809523810 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00353DC	 1459,5090 	 -4,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
K00354DC	 1463,7100 	 -3,808616996 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000 	 0,000000000
