ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00373DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00374DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00375DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00376DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00126DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00127DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00128DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00129DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00130DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00131DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00132DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00133DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00134DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00135DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00136DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00137DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00138DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00139DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00140DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00141DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00142DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00143DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00144DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00145DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00146DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00147DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00148DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00149DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00150DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00151DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00152DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00153DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00154DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00155DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00156DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00157DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00158DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00159DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00160DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00161DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00162DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00163DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00164DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00165DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00166DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00167DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00168DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00169DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00170DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00171DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00172DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00173DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00174DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00175DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00176DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00177DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00178DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00179DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00180DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00181DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00182DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00183DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00184DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00185DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00186DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00187DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00188DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00189DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00190DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00191DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00192DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00193DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00194DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00195DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00196DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00197DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00198DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00199DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00200DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00201DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00202DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00203DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00204DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00205DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00206DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00207DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00208DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00209DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00210DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00211DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00212DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00213DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00214DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00215DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00216DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00217DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00218DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00219DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00220DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00221DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00222DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00223DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00224DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00225DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00226DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00227DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00228DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00229DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00230DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00231DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00232DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00233DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00234DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00235DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00236DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00237DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00238DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00239DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00240DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00241DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00242DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00243DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00244DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00245DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
