id	band	time	status	X0	Y0	Z0	omega	phi	kappa
K00360DC	3	 1488,389000	adjusted	342065,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00361DC	3	 1492,395000	adjusted	342051,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00362DC	3	 1496,591000	adjusted	342038,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00363DC	3	 1500,589000	adjusted	342027,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00364DC	3	 1504,791000	adjusted	342021,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00365DC	3	 1508,789000	adjusted	342014,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00366DC	3	 1512,990000	adjusted	341998,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00367DC	3	 1516,992000	adjusted	341986,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00368DC	3	 1521,210000	adjusted	341978,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00369DC	3	 1525,210000	adjusted	341978,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00370DC	3	 1529,390000	adjusted	341986,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00371DC	3	 1533,589000	adjusted	341998,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00372DC	3	 1537,584000	adjusted	342010,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
