ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00242DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00243DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00244DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00245DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00246DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00247DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00097DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00098DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00099DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00100DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00102DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00103DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00104DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00105DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00106DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00107DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00108DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00109DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00110DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00111DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00112DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00113DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00114DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00115DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00116DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00117DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00118DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00119DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00120DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00121DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00122DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00123DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00124DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00125DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00126DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00127DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00128DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00129DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00130DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00131DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00132DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00133DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00134DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00135DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00136DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00137DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00138DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00139DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00140DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00141DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00142DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00143DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00144DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00145DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00146DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00147DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00148DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00149DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00150DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00151DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00152DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00153DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00154DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00155DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00156DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00157DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00158DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00159DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00160DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00161DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00162DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00163DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00164DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00165DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00166DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00167DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00168DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00169DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00170DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00171DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00172DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00173DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00174DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00175DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00176DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00177DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00178DC	15	1.00	0.00	0.05	0.00	0.20	54.19	307.36
